Fecha,92670,92060,92090,92710,92540,92600,92690,92940,92531,92681,92440,92050,92520,92620,92730,92450,92640,92100,90200,92210,92240,92310,92320,92330,92270,92340,92180,92350,92110,92650,92500,92770,92030,92721,101,92280,92400,92760,92580,92610,92040,92700,92380,92470,92630,92410,92070,92590,92430,92420,92020,92790,92124,90480,4000
2021-03-21 00:00:00,9.54016,2.8499997,9.264,66.37612,4.399368,11.5983,0.5875,0.0,16.964178,4.980417,1.9088334,6.89472,18.042519,11.391681,35.371563,13.638973,11.238702,11.048097,17.506144,35.433334,71.63761,41.734905,18.727867,40.718433,20.622902,28.128,13.08048,26.189192,46.92,12.662025,-1.044159,31.325224,36.230465,10.860001,14.957973,32.00616,10.718984,11.01675,15.631658,16.475855,24.953642,4.2227497,39.735,0.0315,19.686666,17.080276,2.056735,5.22774,30.464617,5.878872,0.0,0.0,29.63323,0.0,0.0
2021-03-21 01:00:00,9.10546,2.8499997,8.3496,58.543438,4.180183,10.86666,0.5354165,0.0,15.766742,4.980417,1.6005001,6.1727395,16.25279,10.661353,32.137966,12.877617,10.217931,9.718098,16.257406,31.688889,67.45435,37.593906,16.3856,38.605633,19.092535,26.608,11.697841,24.02176,41.86,11.55307,-1.044159,29.315641,34.186024,9.633333,14.12506,29.45152,10.522411,10.35348,12.920845,15.851083,22.595,4.4166665,35.55,0.0315,18.24,15.778558,1.992122,4.71114,28.542816,5.077523,0.0,0.0,26.578936,0.0,0.0
2021-03-21 02:00:00,9.01852,2.8499997,7.8324,56.421986,3.741814,10.07244,0.483333,0.0,14.922965,4.980417,1.9631667,5.66622,15.176098,10.320066,29.925034,12.094967,9.558402,8.658097,15.274316,29.01111,63.454346,34.54479,14.814797,37.118378,17.889566,25.171202,10.815839,23.146599,37.96,10.954121,-1.044159,27.670227,32.768246,9.033334,13.213126,26.27716,10.129264,9.806729,10.354908,15.318105,20.870071,3.7861664,32.7,0.0315,16.699999,14.660213,1.669057,4.3722,27.347145,4.72672,0.0,0.0,24.219,0.0,17.0
2021-03-21 03:00:00,9.01852,2.8499997,7.6644,54.42838,3.741814,9.55458,0.483333,0.0,14.490529,4.980417,2.983,5.24097,14.514262,10.135986,28.400965,11.399478,9.211662,8.270097,14.414059,26.6,61.346493,32.485455,13.948002,36.274616,17.346909,24.44,10.1304,21.788885,35.960003,10.624652,-1.044159,26.835455,31.9238,8.653334,12.932271,24.64724,10.038821,9.714869,5.157061,14.920334,20.06476,3.3620002,30.72,0.0315,16.153334,13.965443,1.669057,4.03704,27.032219,4.49433,0.0,0.0,22.805674,0.0,70.0
2021-03-21 04:00:00,9.01852,2.8499997,7.1424003,50.56719,3.741814,9.4689,0.483333,0.0,14.237397,4.980417,2.4178333,5.15592,14.694003,10.362067,27.783295,11.137993,8.66189,7.9100976,13.558423,25.300001,60.04187,31.495926,13.446396,35.970165,16.838167,24.1472,9.95904,20.43935,34.7,10.103917,-1.044159,26.394926,30.879356,8.2699995,12.395312,23.718481,9.586611,9.254519,4.6949944,14.346478,19.346731,5.6005836,29.565,0.0315,15.780002,13.598366,1.669057,4.03704,26.920113,4.30574,0.0,0.0,22.201859,0.0,205.0
2021-03-21 05:00:00,9.01852,2.8499997,7.1424003,48.67198,3.741814,9.4689,0.483333,0.0,14.739048,4.980417,2.4788334,5.15592,15.765643,11.381068,27.338333,11.137993,8.8346,7.9100976,13.454269,25.5,59.384777,31.043556,13.446396,35.970165,16.73642,24.017601,9.95904,20.169449,34.2,10.328408,-1.044159,26.30121,31.13269,8.4366665,12.395312,23.50084,9.586611,9.16245,7.500074,15.559041,19.16072,6.0705833,29.25,0.0315,15.780002,13.607497,1.669057,4.03704,26.67495,4.3805137,0.0,0.0,21.9997,0.0,231.0
2021-03-21 06:00:00,9.01852,2.8499997,7.1424003,50.757847,3.741814,9.4689,0.483333,0.0,14.060733,4.980417,1.9109999,5.15592,16.89485,11.467067,27.338333,11.137993,9.180021,7.9100976,13.093907,25.622223,58.74004,31.94655,13.446396,35.86731,16.73642,23.6352,9.85992,20.701084,34.2,10.58866,-1.044159,26.855589,31.310465,8.331111,12.231514,23.90116,9.586611,8.83542,8.739226,15.921521,19.44264,6.0760837,29.25,0.0315,15.780002,13.69635,1.669057,4.03704,25.903627,4.3782916,0.0,0.0,21.825663,0.0,303.0
2021-03-21 07:00:00,9.01852,2.8499997,7.1424003,47.760647,3.193855,9.4689,0.483333,0.0,13.649391,4.980417,1.8261666,5.08725,16.870022,10.264987,26.538834,10.605993,9.010486,7.367698,12.396031,24.955557,57.1604,31.846817,13.628265,35.095882,16.73642,22.424002,9.03168,20.46389,33.48,10.131604,-1.044159,25.781883,30.324827,7.9911113,11.926582,24.4036,9.041189,7.8004203,11.506706,14.424666,19.334015,6.146666,27.15,0.0315,14.98,13.383254,1.669057,4.03704,25.42338,4.09326,0.0,0.0,21.3818,0.0,174.0
2021-03-21 08:00:00,9.01852,2.7235363,7.1424003,52.6917,3.084263,9.73728,0.483333,0.0,14.5726,4.980417,2.2506666,5.5868397,17.322893,10.474194,29.113998,11.029899,9.165573,7.9484982,13.249252,26.477777,60.570873,34.913418,14.984936,36.749985,17.7539,23.8992,9.5928,22.30417,36.66,10.722824,-0.861118,27.50753,31.695581,8.993333,12.814906,27.022959,9.041189,8.20728,13.040638,14.6571665,20.965036,4.5679164,30.6,0.0255,15.663334,13.98569,2.5692317,4.03704,26.260141,4.46281,0.0,0.0,23.55629,0.0,113.0
